rm,Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Andrew Wiggins,31:14,4,16,0.250,2,6,0.333,3,4,0.750,0,2,2,1,0,1,4,4,13,-28
1,Stephen Curry,30:19,7,21,0.333,2,10,0.200,4,4,1.000,3,1,4,10,2,0,3,1,20,-23
2,Kelly Oubre Jr.,25:39,3,14,0.214,0,6,0.000,0,0,,4,3,7,2,1,2,3,1,6,-28
3,James Wiseman,24:17,7,13,0.538,1,1,1.000,4,8,0.500,1,5,6,0,2,0,1,2,19,-10
4,Eric Paschall,21:33,2,6,0.333,1,1,1.000,1,2,0.500,1,0,1,0,0,1,0,1,6,-28
6,Brad Wanamaker,21:40,0,2,0.000,0,1,0.000,3,4,0.750,0,1,1,3,0,0,1,2,3,1
7,Jordan Poole,17:55,1,4,0.250,0,1,0.000,0,0,,0,2,2,3,0,0,2,2,2,-3
8,Juan Toscano-Anderson,13:15,2,2,1.000,0,0,,0,0,,0,4,4,2,0,2,0,3,4,-9
9,Marquese Chriss,12:26,4,10,0.400,1,3,0.333,0,0,,3,5,8,1,0,0,0,2,9,-6
10,Damion Lee,12:14,1,2,0.500,1,1,1.000,0,0,,1,6,7,2,0,0,0,0,3,8
11,Kent Bazemore,11:35,1,2,0.500,0,1,0.000,0,0,,0,2,2,2,1,0,2,3,2,-3
12,Kevon Looney,11:17,2,4,0.500,0,0,,0,1,0.000,0,2,2,0,0,0,2,3,4,-10
13,Mychal Mulder,6:36,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,8,9
0,Kyrie Irving,25:18,10,16,0.625,4,7,0.571,2,2,1.000,1,3,4,4,0,0,1,3,26,32
1,Kevin Durant,24:56,7,16,0.438,1,2,0.500,7,7,1.000,1,4,5,3,3,1,1,3,22,26
2,Joe Harris,20:46,4,8,0.500,2,5,0.400,0,0,,2,5,7,2,0,1,2,2,10,21
3,Spencer Dinwiddie,19:57,2,6,0.333,1,3,0.333,4,4,1.000,0,5,5,4,0,0,3,1,9,24
4,DeAndre Jordan,17:03,2,3,0.667,0,0,,0,2,0.000,2,9,11,1,1,1,3,2,4,21
6,Caris LeVert,24:49,6,17,0.353,3,5,0.600,5,6,0.833,1,8,9,5,2,1,2,1,20,18
7,Landry Shamet,19:43,1,4,0.250,1,4,0.250,3,4,0.750,0,1,1,0,1,0,2,3,6,12
8,Jarrett Allen,19:37,2,3,0.667,0,0,,4,5,0.800,3,4,7,2,1,2,2,0,8,12
9,Jeff Green,17:17,3,4,0.750,1,2,0.500,0,0,,0,0,0,1,1,0,1,3,7,6
10,Taurean Prince,16:06,0,1,0.000,0,1,0.000,1,2,0.500,0,1,1,0,1,1,0,1,1,3
11,Reggie Perry,7:46,1,3,0.333,0,1,0.000,0,0,,1,1,2,1,0,0,0,0,2,-8
12,Bruce Brown,7:31,1,3,0.333,0,1,0.000,0,0,,0,1,1,1,0,0,2,1,2,-7
13,Timothé Luwawu-Cabarrot,6:36,2,6,0.333,1,3,0.333,0,0,,1,1,2,0,0,0,1,2,5,-9
14,Rodions Kurucs,6:36,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-9
15,Tyler Johnson,5:59,0,1,0.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-12
0,Paul George,35:46,13,18,0.722,5,8,0.625,2,2,1.000,0,6,6,3,1,0,5,3,33,17
1,Kawhi Leonard,34:01,10,26,0.385,1,8,0.125,5,5,1.000,0,2,2,3,2,0,3,5,26,1
2,Nicolas Batum,28:11,1,4,0.250,1,3,0.333,0,0,,1,5,6,6,2,0,1,2,3,-2
3,Patrick Beverley,22:07,4,9,0.444,2,5,0.400,0,0,,4,2,6,3,0,0,2,4,10,10
4,Serge Ibaka,20:33,5,7,0.714,2,3,0.667,3,5,0.600,2,4,6,0,0,1,1,3,15,-8
6,Ivica Zubac,26:31,4,5,0.800,0,0,,3,4,0.750,3,3,6,1,1,1,1,4,11,17
7,Lou Williams,25:58,4,9,0.444,2,4,0.500,1,3,0.333,0,2,2,3,0,0,1,2,11,1
8,Luke Kennard,21:03,2,6,0.333,0,3,0.000,0,0,,0,2,2,2,2,1,1,3,4,-3
9,Patrick Patterson,19:36,1,5,0.200,1,4,0.250,0,0,,1,2,3,1,2,0,1,2,3,9
10,Reggie Jackson,3:21,0,3,0.000,0,2,0.000,0,0,,0,1,1,0,0,0,0,1,0,-1
11,Terance Mann,1:01,0,1,0.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
12,Amir Coffey,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
13,Mfiondu Kabengele,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
14,Daniel Oturu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Anthony Davis,30:53,8,15,0.533,0,2,0.000,2,2,1.000,0,7,7,2,0,0,4,1,18,-16
1,LeBron James,28:21,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,22,2
2,Dennis Schröder,27:48,5,15,0.333,2,5,0.400,2,4,0.500,1,11,12,8,0,0,1,4,14,-10
3,Kentavious Caldwell-Pope,23:03,2,4,0.500,1,3,0.333,4,4,1.000,0,2,2,1,2,1,2,2,9,-9
4,Marc Gasol,12:02,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,5,0,-8
6,Montrezl Harrell,32:15,6,7,0.857,0,0,,5,7,0.714,4,6,10,3,0,1,1,1,17,-3
7,Kyle Kuzma,26:38,6,11,0.545,1,3,0.333,2,2,1.000,0,1,1,0,0,0,2,2,15,1
8,Markieff Morris,19:00,1,3,0.333,1,2,0.500,2,3,0.667,1,3,4,1,0,0,0,0,5,14
9,Alex Caruso,16:40,1,5,0.200,1,4,0.250,0,0,,0,2,2,1,0,0,3,0,3,3
10,Wesley Matthews,11:06,0,2,0.000,0,2,0.000,0,0,,0,0,0,0,1,0,0,0,0,-18
11,Talen Horton-Tucker,10:51,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,1,3,6,7
12,Quinn Cook,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
13,Alfonzo McKinnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Jared Dudley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Terry Rozier,37:31,15,23,0.652,10,16,0.625,2,4,0.500,1,2,3,2,2,1,3,5,42,-4
1,Devonte' Graham,37:07,4,13,0.308,2,9,0.222,0,0,,2,1,3,10,0,0,2,1,10,-7
2,Gordon Hayward,36:13,11,18,0.611,4,8,0.500,2,2,1.000,0,4,4,7,1,0,3,4,28,-2
3,P.J. Washington,21:23,1,5,0.200,0,1,0.000,2,2,1.000,0,2,2,2,0,1,0,1,4,-17
4,Cody Zeller,18:57,3,6,0.500,0,2,0.000,0,1,0.000,1,2,3,0,3,1,1,1,6,-10
6,Bismack Biyombo,24:21,5,5,1.000,0,0,,1,5,0.200,1,3,4,0,0,1,2,1,11,0
7,Miles Bridges,22:05,3,10,0.300,0,5,0.000,0,0,,1,5,6,1,1,0,0,1,6,6
8,Cody Martin,21:01,2,3,0.667,0,0,,1,1,1.000,1,4,5,4,0,0,0,1,5,2
9,LaMelo Ball,15:48,0,5,0.000,0,3,0.000,0,0,,0,1,1,3,2,0,3,2,0,2
10,Jalen McDaniels,5:34,1,2,0.500,0,0,,0,0,,1,0,1,0,1,0,1,0,2,-5
11,Caleb Martin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Nick Richards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Vernon Carey Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Malik Monk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
